position,requirements,description,benefits
Apple Solutions Consultant,a passion to help people understand how apple products can enrich their livesexcellent communication skills allowing you to be as comfortable in front of a small group as you are speaking with individuals years preferred working in a dynamic sales andor results driven environment as well as proven success developing customer loyaltyability to encourage a partner team and grow apple business N/A years preferred N/A,as an asc you will be highly influential in growing mind and market share of apple products while building longterm relationships with those who share your passion customer experiences are driven through you and your partner team growing in an ever changing and challenging environment you strive for perfection whether its maintaining visual merchandising or helping to grow and develop your partner team,Không
Licensing Coordinator - Consumer Products,"2+ years experience in preferably outbound licensing. Understanding of category manufacturing and sales cycles for toys/food/beverage preferred. Experience with entertainment/lifestyle brands. Self-starter, proactive, flexible. Thrives under pressure. Superb organizational and multitasking skills. Excellent communication skills. N/A 2+ years experience in preferably outbound licensing Understanding of category manufacturing and sales cycles for toys and/or food and beverage preferred. Experience working with reputable entertainment and/or lifestyle brands.","Help drive business by supporting licensing managers on tasks related to category management, facilitating information between stakeholders, maintaining communication plans. Coordinate with internal teams to share brand and marketing updates with partners. Maintain and update title strategies and licensing plans. Collaborate with partners on product launches. Assist with licensing recaps, meetings, and agreements.",Không
Web Designer,"2+ years experience in web design. Proficiency with Adobe Creative Cloud (Photoshop, Illustrator, InDesign). Strong HTML, CSS, JavaScript skills. Familiarity with content management systems. N/A 2+ years UX/UI design experience. Knowledge of brand standards and guidelines.","Designing websites, wireframes, landing pages, and mobile applications. Implementing designs using HTML, CSS, and JavaScript. QA testing sites and applications.",Không
Web Developer,"2+ years of experience with HTML and CSS/SASS, 2+ years of experience with programming PHP applications and LAMP stack development, experience with ES6 JavaScript and jQuery, thorough understanding of relational databases and security relating to PHP/MySQL, expert knowledge with content management systems either from your own design or from MVC frameworks such as Zend, Laravel etc., ability to build and consume custom SOAP and REST APIs, 2+ years of experience writing unit tests detailing procedures, self-motivated requiring minimal supervision, exceptional organization and communication skills N/A 2+ years N/A","Build and layouts from provided PSD files, build dynamic web apps using PHP/MySQL frameworks, leverage REST services and other third-party APIs, rapidly solve problems/bugs and compatibility issues, troubleshoot test and maintain the core product software and databases","Free health insurance for employees with no waiting period, dental and vision insurance (Trackfive splits the cost), paid birthday holiday, company-paid short and long-term disability insurance, company-paid life insurance, flex time, paid parental leave, company-matched retirement plan with no waiting or vesting period, work-from-home options, office perks like snacks/massages/pet days, opportunity to work with great people on exciting things, amazing holiday party"
Frontend Web Developer,"Strong attention to design details, typography, UI, etc. Familiarity with Bootstrap or similar frameworks. WordPress knowledge. N/A N/A Desire to learn WordPress.",Translate designs responsively for multiple screen sizes. Work in WordPress. Frontend web development.,Không
Remote Website Designer,"2+ years experience in web or product design. Portfolio showcasing typography, interaction and visual design skills. Understanding of responsive design and modular design systems. Figma and design tools proficiency. Strong communication skills. Self-starter. N/A 2+ years experience as an individual contributor on a web or product design team Personal projects displaying design aesthetic and passions. ADA and accessibility certification. Experience facilitating visual design adoption. Ability to communicate design decisions.",Provide design support for client and internal website projects. Collaborate with content and development teams. Ensure high-quality implementation of designs. Use and evolve the design system.,Remote work. Generous PTO. Education/training allowance. Apple hardware. Insurance benefits. Company-sponsored life insurance.
Web Designer,"2+ years of digital design experience driving online sales or marketing. Ability to communicate effectively with high-level clients. Able to thrive in a fast-paced, team environment. Open to new ideas and able to adapt quickly. Proficiency with Adobe Creative Suite including Photoshop, Illustrator, and InDesign. Experience with Sketch and UI wireframing. Ability to articulate design concepts. HTML/CSS/JS experience preferred but not required. N/A 2+ years of relevant digital design experience HTML/CSS/JS experience",Design compelling direct response websites and digital content that supports the brand campaign objectives and drives measurable actions. Utilize knowledge of company products and services to create effective designs. Create designs compatible across devices. Create mockups and present ideas to stakeholders. Continually improve user experiences and drive revenue growth.,"Competitive salary, monthly profit distributions, health/dental insurance paid 100% by company, 401k matching, generous paid time off, potential for remote work"
Web Designer,"3+ years experience as a web designer. Experience with creative production tools like Figma and Adobe Suite. Strong project management skills. Clean aesthetic and typography skills. Strategic thinker with passion for brand building and UX. Flexibility to work on multiple brands at once. N/A 3+ years experience as a web designer Experience working with creative production teams. Learning mindset committed to continuous improvement. Bias toward action, efficiency and adaptability. Success testing and uncovering insights.","Work on various website designs and ongoing monthly improvements for 5 clients. This includes testing CTAs, remediating core pages, adding landing pages, refining pricing pages, updating user flows, redesigning blogs, etc. Guide website project timelines, scopes and costs within the Tuff process.","$110,000-$150,000 salary range. Comprehensive health, dental and vision coverage. 401k with matching. Unlimited PTO. Parental leave. Home office stipend. Internet reimbursement. Annual team retreats."
Web Developer,"Proficiency in HTML, CSS, JavaScript and basic PHP/MySQL. Experience building and maintaining web-based platforms (WordPress). Knowledge of interaction design fundamentals and web best practices. Experience with Adobe Creative Suite and audio/video editing. API integration experience. N/A At least 2 years of experience building and maintaining websites. Experience with motion graphics. Capacity to rapidly design/develop web pages based on shifting calendars. Aptitude to independently troubleshoot novel coding issues. Enthusiasm to work in a challenging, creative music industry environment.","Design, create and code promotional pages, social skins, email campaigns, banner ads, web interfaces and page layouts. Maintain and update active company and label websites, images, audio files, press releases, graphics. Troubleshoot creative and technical challenges.","Outstanding benefits including 401k match, medical/dental/life/disability insurance."
Senior UI Designer,"UI design experience; Proficiency in design tools like Sketch, InVision, Illustrator; Web/mobile design experience; Pixel-perfect design files; Motion design experience N/A Multiple years of related design experience Design systems experience; Icon/illustration experience; Design community connections; Takes feedback well; Personal design style","Lead or contribute to projects; Create designs that align with client brand, creative vision, and business strategy; Collaborate across teams; Provide art direction",Không
